listing_id,bed_type,bed_length
276622031,,76.3
280939547,,76.3
275322827,,76.3
277414613,,76.3
275058463,,76.3
280268380,,76.3
278002972,,76.3
266179329,,76.3
270193373,,76.3
267032856,,76.3
270411795,,76.3
277394015,,76.3
277195162,,76.3
277890378,,76.3
277311311,,76.3
275058457,,76.3
277962550,,76.3
277528191,,76.3
277640905,,76.3
279289895,,76.3
269311833,,76.3
269878201,,76.3
269876222,,76.3
276705305,,76.3
276622037,,76.3
275253818,,76.3
277632711,,76.3
279495455,Short,76.3
280916804,,76.3
279423185,,76.3
264861130,,76.3
274567210,,76.3
269757846,,76.3
269878210,,76.3
276232172,,76.3
276248007,,76.3
275058461,,76.3
281034475,,
276940043,,76.3
280113964,,76.3
279655850,,76.3
279750184,,
265137022,,76.3
267232966,,76.3
267854345,,76.3
268759553,,76.3
273370839,,76.3
274349602,,76.3
276925354,,76.3
277962540,,76.3
277076037,,76.3
277028071,,76.3
281562088,,76.3
278173093,,76.3
265137036,,76.3
269876221,,76.3
276232171,,76.3
277195159,,76.3
276622026,,76.3
275058453,,76.3
277306154,,76.3
277028065,,76.3
278707726,,76.3
278126164,,76.3
264841842,,76.3
263533659,,76.3
265598778,,76.3
265140380,,76.3
263791306,,76.3
267846221,,76.3
268324080,,76.3
267409784,,76.3
269005121,,76.3
276415396,,76.3
272154039,,76.3
276107704,,76.3
277640902,,76.3
277028082,,76.3
281047950,,76.3
280482138,,76.3
281647842,,76.3
278566126,,76.3
279420493,,76.3
280947958,,
269814661,,76.3
268609353,,76.3
274458360,,76.3
272425670,,76.3
277306150,,76.3
275058456,,76.3
281556027,,
265942160,,76.3
267620885,,76.3
265722103,,76.3
278017197,,76.3
269332979,,76.3
273370840,,76.3
276953389,,76.3
275058459,,76.3
279790486,,76.3
277632713,,76.3
280982050,,
265613498,,76.3
266881870,,76.3
265348618,,76.3
269876220,,76.3
273459519,,76.3
277306152,,76.3
275253812,,76.3
276731364,,76.3
277414612,,76.3
280599428,,76.3
281019083,,76.3
263391063,,76.3
265598783,,76.3
268381560,,76.3
265855546,,76.3
267823166,,76.3
266925633,,76.3
270411428,,76.3
267515228,,76.3
269878197,,76.3
277962551,,76.3
273962651,,76.3
277441956,,76.3
275058458,,76.3
274741363,,76.3
277632709,,76.3
277028074,,76.3
278480314,Short,76.3
280424267,,76.3
279663200,,76.3
278677954,,76.3
271647457,,76.3
281228091,,76.3
268827853,,76.3
279231128,,76.3
281512791,,76.3
264628795,,
264860436,,76.3
266533884,,76.3
269311832,,76.3
273459451,,76.3
269332976,,76.3
272154038,,76.3
270030703,,76.3
277028073,,76.3
276210511,,76.3
279425176,,76.3
279690170,,76.3
250630929,,
266210202,,76.3
266026032,,76.3
266210200,,76.3
264835343,,76.3
265715631,,76.3
269511353,,76.3
275010602,,76.3
269311837,,76.3
270030691,,76.3
269311605,,76.3
277535050,,76.3
277956818,,76.3
281081501,,76.3
281092306,,76.3
280946078,Short,76.3
281078719,,76.3
280298234,,76.3
262942182,,76.3
264212570,,76.3
265138961,,76.3
267942503,,76.3
268478188,,76.3
268713685,,76.3
270317191,,76.3
275058454,,76.3
269878212,,76.3
269511351,,76.3
277306156,,76.3
278281432,,76.3
279535768,,76.3
279611960,,76.3
263186582,,76.3
268046921,,76.3
266533882,,76.3
264597563,,76.3
268758294,,76.3
269878213,,76.3
272154046,,76.3
273890899,,76.3
277028079,,76.3
280552004,,76.3
281272487,,76.3
281456134,,76.3
279871092,,76.3
281291871,,76.3
280281371,,76.3
252665995,,
257438869,,
268478185,,76.3
269511352,,76.3
270846649,,76.3
268517076,,76.3
268758298,,76.3
270891585,,76.3
270258093,,76.3
269878199,,76.3
272154024,,76.3
272154037,,76.3
280468197,,76.3
281629544,,76.3
280319237,,76.3
280411472,,76.3
279409913,,76.3
281254550,,76.3
266881865,,76.3
267029849,,76.3
269005133,,76.3
272154050,,76.3
269332695,,76.3
275262456,,76.3
274651403,,76.3
280652387,,76.3
276614647,Short,76.3
280898337,,76.3
281028010,,76.3
281616239,,76.3
280001195,,76.3
247816933,,
257438866,,
265321438,,76.3
266110882,,76.3
268689806,,76.3
264093647,,76.3
269208950,,76.3
271746988,,76.3
269878196,,76.3
269005135,,76.3
272154053,,76.3
270030704,,76.3
270030694,,76.3
277306159,,76.3
