model_id,maximum_seating
241013819,5
241014557,5
241042238,7
241092564,6
241100293,5
241102864,8
241107673,7
241120225,7
241195963,5
241205427,7
241268520,8
241285210,7
241301702,8
241302964,5
241348307,7
241362864,5
241371398,7
241481404,8
241503266,8
241504703,5
241504705,5
241526617,5
241540179,7
241548149,5
241583599,5
241590182,5
241624813,5
241625830,5
241645095,5
241648593,5
241660022,
241660028,7
241701220,5
241721901,8
241721914,7
241726546,7
241730002,8
241733033,5
241740135,5
241740149,7
241740160,5
241740213,7
241740216,12
241740227,8
241740349,7
241740470,5
241758887,5
241775667,7
241780540,5
241783394,5
241822849,8
241839325,7
241842705,7
241855734,7
241872049,5
241872051,5
241923437,8
241927290,5
241976768,7
241978304,5
241979342,5
241980014,5
241988792,5
241988794,5
241988800,8
241988804,5
241988806,5
241997282,5
242068172,
242081816,5
242109870,5
242114430,8
242142444,7
242142445,7
242144284,8
242158335,5
242166210,8
242174372,5
242178855,7
242178856,7
242181980,
242193534,5
242198401,5
242220354,5
242223553,5
242223658,5
242259150,5
242266000,7
242307837,5
242336726,5
242350923,7
242355911,8
242358425,5
242371012,5
242396374,5
242419050,7
242434855,2
242445887,5
242455173,2
242477322,2
242486913,7
242502978,7
242507767,5
242519843,12
242540261,8
242556283,5
242572431,8
242573815,7
242582561,5
242624105,7
242627030,5
242632483,7
242635637,8
242656741,5
242669546,5
242680017,5
242680792,5
242690977,5
242692597,7
242704042,5
242706480,7
242776905,8
242780700,5
242781244,
242796174,7
242808431,7
242809812,2
242816257,5
242826594,12
242831539,5
242858693,7
242872416,5
242872862,5
242873421,7
242873435,5
242873482,5
242873485,5
242887156,2
242901304,5
242901308,5
242902094,7
242908918,
242917315,7
242918348,5
242923777,7
242928779,8
242928870,5
242933830,8
242937418,5
242937666,5
242937766,5
242987257,5
242992223,5
242995327,8
242995495,7
242995523,7
242998696,7
243012110,8
243012911,7
243020950,5
243020957,5
243027511,5
243035445,5
243043368,8
243055126,7
243057055,5
243080939,
243080965,3
243086125,5
243093046,8
243093053,2
243093054,2
243096094,2
243096099,7
243096118,2
243096122,5
243114824,2
243122595,7
243134392,5
243136134,5
243136403,5
243146785,8
243155969,8
243174615,5
243196946,5
243203889,5
243210012,7
243225157,5
243233049,5
243247835,5
243290743,7
243299817,5
243311611,7
243336228,5
243353790,2
243366300,7
243380101,5
243422326,5
243466558,7
243470945,5
243480645,5
243517505,8
243525634,
243547743,8
243556877,5
243572152,7
243572561,8
243584665,7
243584882,
